address/city,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,livingArea,price,url,yearBuilt
Mcknight,PA,217 Thompson Run Rd,,15237,0.0,0.0,,130000,https://www.zillow.com/homedetails/217-Thompson-Run-Rd-McKnight-PA-15237/11409468_zpid/,
Pittsburgh,PA,6 Neff St #B,,15211,2.0,3.0,2429.0,825000,https://www.zillow.com/homedetails/6-Neff-St-B-Pittsburgh-PA-15211/2075649745_zpid/,2013.0
Pittsburgh,PA,4919 Centre Ave,,15213,5.0,3.0,,995000,https://www.zillow.com/homedetails/4919-Centre-Ave-Pittsburgh-PA-15213/2114952459_zpid/,1878.0
Pittsburgh,PA,122 43rd St,,15201,0.0,,,349000,https://www.zillow.com/homedetails/122-43rd-St-Pittsburgh-PA-15201/11512666_zpid/,1865.0
Mcknight,PA,219 Thompson Run Rd,,15237,0.0,,,205000,https://www.zillow.com/homedetails/219-Thompson-Run-Rd-McKnight-PA-15237/164365927_zpid/,1930.0
Pittsburgh,PA,409 Rodi Rd,,15235,2.0,3.0,1470.0,239000,https://www.zillow.com/homedetails/409-Rodi-Rd-Pittsburgh-PA-15235/11493424_zpid/,1935.0
Mcknight,PA,223 Thompson Run Rd,,15237,2.0,2.0,1536.0,200000,https://www.zillow.com/homedetails/223-Thompson-Run-Rd-McKnight-PA-15237/11442808_zpid/,1897.0
Pittsburgh,PA,4120 New Texas Rd,,15239,0.0,0.0,,39900,https://www.zillow.com/homedetails/4120-New-Texas-Rd-Pittsburgh-PA-15239/11625901_zpid/,
Mcknight,PA,225 Thompson Run Rd,,15237,0.0,0.0,,80000,https://www.zillow.com/homedetails/225-Thompson-Run-Rd-McKnight-PA-15237/87986611_zpid/,
Pittsburgh,PA,4631 Eden Way,,15201,0.0,,,399900,https://www.zillow.com/homedetails/4631-Eden-Way-Pittsburgh-PA-15201/11613421_zpid/,1900.0
Pittsburgh,PA,3115 Shadeland Ave,,15212,3.0,3.0,2140.0,79900,https://www.zillow.com/homedetails/3115-Shadeland-Ave-Pittsburgh-PA-15212/11606318_zpid/,1900.0
Pittsburgh,PA,135 Pearl St,,15224,2.0,3.0,1436.0,235000,https://www.zillow.com/homedetails/135-Pearl-St-Pittsburgh-PA-15224/11520575_zpid/,1910.0
Pittsburgh,PA,28-201 S Highland Ave,,15206,1.0,3.0,1272.0,80000,https://www.zillow.com/homedetails/28-201-S-Highland-Ave-Pittsburgh-PA-15206/2067762977_zpid/,1905.0
Pittsburgh,PA,835 Lovitt Way,,15212,0.0,0.0,,34900,https://www.zillow.com/homedetails/835-Lovitt-Way-Pittsburgh-PA-15212/164603557_zpid/,
Pittsburgh,PA,215 25th St #8,,15222,4.0,4.0,5425.0,3195000,https://www.zillow.com/homedetails/215-25th-St-8-Pittsburgh-PA-15222/164605657_zpid/,2021.0
Pittsburgh,PA,116 Auburn St,,15206,2.0,4.0,,185000,https://www.zillow.com/homedetails/116-Auburn-St-Pittsburgh-PA-15206/11623625_zpid/,1900.0
Pittsburgh,PA,8150 Peebles Rd,,15237,2.0,4.0,2840.0,334900,https://www.zillow.com/homedetails/8150-Peebles-Rd-Pittsburgh-PA-15237/11558846_zpid/,1940.0
Pittsburgh,PA,661 College Ave,,15232,0.0,,,425000,https://www.zillow.com/homedetails/661-College-Ave-Pittsburgh-PA-15232/2070927045_zpid/,1895.0
Pittsburgh,PA,1031 Herron Ave,,15219,1.0,3.0,1734.0,180000,https://www.zillow.com/homedetails/1031-Herron-Ave-Pittsburgh-PA-15219/59835285_zpid/,1885.0
Pittsburgh,PA,7239 Mount Vernon St,,15208,0.0,0.0,,10000,https://www.zillow.com/homedetails/7239-Mount-Vernon-St-Pittsburgh-PA-15208/11338866_zpid/,
Pittsburgh,PA,3032 Zephyr Ave,,15204,2.0,3.0,1797.0,50000,https://www.zillow.com/homedetails/3032-Zephyr-Ave-Pittsburgh-PA-15204/11482994_zpid/,1896.0
Pittsburgh,PA,618 Tara Dr,,15237,0.0,0.0,,25900,https://www.zillow.com/homedetails/618-Tara-Dr-Pittsburgh-PA-15237/164642109_zpid/,
Pittsburgh,PA,3807 Liberty Ave #206,,15201,1.0,1.0,747.0,299900,https://www.zillow.com/homedetails/3807-Liberty-Ave-206-Pittsburgh-PA-15201/2071021076_zpid/,2020.0
Pittsburgh,PA,619 Tara Dr,,15237,0.0,0.0,,25900,https://www.zillow.com/homedetails/619-Tara-Dr-Pittsburgh-PA-15237/164399839_zpid/,
Pittsburgh,PA,5264 Dresden Way,,15201,2.0,2.0,1853.0,365000,https://www.zillow.com/homedetails/5264-Dresden-Way-Pittsburgh-PA-15201/2081187350_zpid/,1900.0
Pittsburgh,PA,1531 Roosevelt Rd,,15237,6.0,4.0,7886.0,1800000,https://www.zillow.com/homedetails/1531-Roosevelt-Rd-Pittsburgh-PA-15237/11521385_zpid/,2004.0
Pittsburgh,PA,5609 Elmer St APT 303,,15232,2.0,2.0,1194.0,340000,https://www.zillow.com/homedetails/5609-Elmer-St-APT-303-Pittsburgh-PA-15232/11625347_zpid/,1900.0
Pittsburgh,PA,1535-1537 Lowrie St,,15212,0.0,,,695000,https://www.zillow.com/homedetails/1535-1537-Lowrie-St-Pittsburgh-PA-15212/2071240147_zpid/,
Pittsburgh,PA,106 Stoney Camp Ln,,15238,10.0,6.0,11000.0,1999900,https://www.zillow.com/homedetails/106-Stoney-Camp-Ln-Pittsburgh-PA-15238/11444549_zpid/,1992.0
Pittsburgh,PA,3128 Bergman St,,15204,1.0,3.0,1840.0,119900,https://www.zillow.com/homedetails/3128-Bergman-St-Pittsburgh-PA-15204/11483127_zpid/,1919.0
Pittsburgh,PA,714 Leydon St,,15201,2.0,1.0,,230000,https://www.zillow.com/homedetails/714-Leydon-St-Pittsburgh-PA-15201/11614778_zpid/,1900.0
Pittsburgh,PA,604 Edmond St,,15224,0.0,0.0,,129000,https://www.zillow.com/homedetails/604-Edmond-St-Pittsburgh-PA-15224/2071189917_zpid/,
